stepcount_27,strategy_27,strat code_27,move_27,probabilities_27,utility_27,common_move_27,number_coop_27,number_defect_27,outcomes_27,p1_27,p2_27,p3_27,p4_27,u1_27,u2_27,u3_27,u4_27,m1_27,m2_27,m3_27,m4_27
True,VPP,6,"{28: 'C', 35: 'C', 26: 'C', 19: 'D'}","{28: 0.47, 35: 0.47, 26: 0.47, 19: 0.46}",0,['C'],3,1,"{28: ['C', 'C'], 35: ['C', 'C'], 26: ['C', 'C'], 19: ['D', 'C']}",0.47,0.47,0.47,0.46,1.5,1.5,1.5,2,1,1,1,2
2,VPP,6,"{28: 'D', 35: 'D', 26: 'C', 19: 'D'}","{28: 0.43, 35: 0.43, 26: 0.43999999999999995, 19: 0.48000000000000004}",6.5,['D'],1,3,"{28: ['D', 'C'], 35: ['D', 'C'], 26: ['C', 'C'], 19: ['D', 'D']}",0.43,0.43,0.43999999999999995,0.48000000000000004,3.5,3.5,3.0,3,2,2,1,2
3,VPP,6,"{28: 'D', 35: 'C', 26: 'C', 19: 'C'}","{28: 0.45, 35: 0.47, 26: 0.4099999999999999, 19: 0.45000000000000007}",13.0,['C'],3,1,"{28: ['D', 'D'], 35: ['C', 'D'], 26: ['C', 'C'], 19: ['C', 'C']}",0.45,0.47,0.4099999999999999,0.45000000000000007,4.5,1.5,4.5,4.5,2,1,1,1
4,VPP,6,"{28: 'C', 35: 'D', 26: 'C', 19: 'D'}","{28: 0.42000000000000004, 35: 0.49, 26: 0.3799999999999999, 19: 0.4100000000000001}",15.0,Eq,2,2,"{28: ['C', 'C'], 35: ['D', 'D'], 26: ['C', 'C'], 19: ['D', 'C']}",0.42000000000000004,0.49,0.3799999999999999,0.4100000000000001,6.0,2.5,6.0,6.5,1,2,1,2
5,VPP,6,"{28: 'D', 35: 'C', 26: 'C', 19: 'C'}","{28: 0.38000000000000006, 35: 0.45999999999999996, 26: 0.34999999999999987, 19: 0.45000000000000007}",21.0,['C'],3,1,"{28: ['D', 'C'], 35: ['C', 'C'], 26: ['C', 'C'], 19: ['C', 'D']}",0.38000000000000006,0.45999999999999996,0.34999999999999987,0.45000000000000007,8.0,4.0,7.5,4.5,2,1,1,1
6,VPP,6,"{28: 'D', 35: 'D', 26: 'C', 19: 'D'}","{28: 0.4000000000000001, 35: 0.42, 26: 0.31999999999999984, 19: 0.4700000000000001}",24.0,['D'],1,3,"{28: ['D', 'D'], 35: ['D', 'C'], 26: ['C', 'C'], 19: ['D', 'D']}",0.4000000000000001,0.42,0.31999999999999984,0.4700000000000001,9.0,6.0,9.0,5.5,2,2,1,2
7,VPP,6,"{28: 'C', 35: 'D', 26: 'D', 19: 'C'}","{28: 0.3700000000000001, 35: 0.44, 26: 0.27999999999999986, 19: 0.44000000000000006}",29.5,Eq,2,2,"{28: ['C', 'C'], 35: ['D', 'D'], 26: ['D', 'C'], 19: ['C', 'C']}",0.3700000000000001,0.44,0.27999999999999986,0.44000000000000006,10.5,7.0,11.0,7.0,1,2,2,1
8,VPP,6,"{28: 'D', 35: 'C', 26: 'C', 19: 'C'}","{28: 0.3300000000000001, 35: 0.41000000000000003, 26: 0.31999999999999984, 19: 0.41000000000000003}",35.5,['C'],3,1,"{28: ['D', 'C'], 35: ['C', 'C'], 26: ['C', 'D'], 19: ['C', 'C']}",0.3300000000000001,0.41000000000000003,0.31999999999999984,0.41000000000000003,12.5,8.5,9.0,8.5,2,1,1,1
9,VPP,6,"{28: 'D', 35: 'D', 26: 'C', 19: 'C'}","{28: 0.35000000000000014, 35: 0.37000000000000005, 26: 0.3599999999999998, 19: 0.38}",38.5,Eq,2,2,"{28: ['D', 'D'], 35: ['D', 'C'], 26: ['C', 'D'], 19: ['C', 'C']}",0.35000000000000014,0.37000000000000005,0.3599999999999998,0.38,13.5,10.5,7.0,10.0,2,2,1,1
10,VPP,6,"{28: 'D', 35: 'C', 26: 'C', 19: 'C'}","{28: 0.31000000000000016, 35: 0.41000000000000003, 26: 0.3999999999999998, 19: 0.35}",41.0,['C'],3,1,"{28: ['D', 'C'], 35: ['C', 'D'], 26: ['C', 'D'], 19: ['C', 'C']}",0.31000000000000016,0.41000000000000003,0.3999999999999998,0.35,15.5,8.5,5.0,11.5,2,1,1,1
