stepcount,agent_strategy
1,"['1, VPP', '2, RANDOM']"
2,"['1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM']"
3,"['1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM']"
4,"['1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM']"
5,"['1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM']"
6,"['1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM']"
7,"['1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM']"
8,"['1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM']"
9,"['1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM']"
10,"['1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM']"
11,"['1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM']"
12,"['1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM']"
13,"['1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM']"
14,"['1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM']"
15,"['1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM']"
16,"['1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM']"
17,"['1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM']"
18,"['1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM']"
19,"['1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM']"
20,"['1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM']"
21,"['1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM']"
22,"['1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM']"
23,"['1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM']"
24,"['1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM']"
25,"['1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM']"
26,"['1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM']"
27,"['1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM']"
28,"['1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM']"
29,"['1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM']"
30,"['1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM']"
31,"['1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM', '1, VPP', '2, RANDOM']"
