n agents,stepcount,steptime,cooperating,defecting,coop total,defect total
2,1,0.0039980411529541016,2,0,2,0
2,2,0.0,2,0,2,0
2,3,0.003972768783569336,1,1,1,1
2,4,0.007971763610839844,0,2,0,2
2,5,0.0040013790130615234,1,1,1,1
2,6,0.003996610641479492,1,1,1,1
2,7,0.0039997100830078125,0,2,0,2
2,8,0.005280733108520508,1,1,1,1
2,9,0.003972768783569336,1,1,1,1
2,10,0.0,1,1,1,1
2,11,0.003999233245849609,2,0,2,0
2,12,0.003998517990112305,1,1,1,1
2,13,0.0,0,2,0,2
2,14,0.00397038459777832,1,1,1,1
2,15,0.003967761993408203,1,1,1,1
2,16,0.003972530364990234,1,1,1,1
2,17,0.0039942264556884766,1,1,1,1
2,18,0.0,0,2,0,2
2,19,0.0,0,2,0,2
2,20,0.004002094268798828,2,0,2,0
2,21,0.015994548797607422,2,0,2,0
2,22,0.0,1,1,1,1
2,23,0.0,1,1,1,1
2,24,0.0,0,2,0,2
2,25,0.0,1,1,1,1
2,26,0.0039997100830078125,0,2,0,2
2,27,0.003995656967163086,1,1,1,1
2,28,0.0,2,0,2,0
2,29,0.0,1,1,1,1
2,30,0.0,2,0,2,0
2,31,0.0,2,0,2,0
2,32,0.0,0,2,0,2
2,33,0.0,1,1,1,1
2,34,0.003999233245849609,1,1,1,1
2,35,0.003973245620727539,1,1,1,1
2,36,0.008002519607543945,1,1,1,1
2,37,0.003998517990112305,1,1,1,1
2,38,0.0,1,1,1,1
2,39,0.003994464874267578,1,1,1,1
2,40,0.0,1,1,1,1
2,41,0.003997802734375,2,0,2,0
2,42,0.0,1,1,1,1
2,43,0.0,1,1,1,1
2,44,0.004000425338745117,0,2,0,2
2,45,0.003966808319091797,2,0,2,0
2,46,0.00399017333984375,2,0,2,0
2,47,0.007994413375854492,0,2,0,2
2,48,0.003998756408691406,1,1,1,1
2,49,0.0,0,2,0,2
2,50,0.004065036773681641,1,1,1,1
2,51,0.0040018558502197266,0,2,0,2
2,52,0.00397181510925293,1,1,1,1
2,53,0.003972053527832031,2,0,2,0
2,54,0.003993511199951172,0,2,0,2
2,55,0.003999471664428711,1,1,1,1
2,56,0.003998517990112305,2,0,2,0
2,57,0.008002281188964844,1,1,1,1
2,58,0.003995418548583984,1,1,1,1
2,59,0.00399327278137207,2,0,2,0
2,60,0.0,0,2,0,2
2,61,0.003997087478637695,1,1,1,1
2,62,0.003999471664428711,0,2,0,2
2,63,0.0,1,1,1,1
2,64,0.0040013790130615234,1,1,1,1
2,65,0.003968715667724609,1,1,1,1
2,66,0.003972053527832031,2,0,2,0
2,67,0.00799560546875,1,1,1,1
2,68,0.0,1,1,1,1
2,69,0.0,1,1,1,1
2,70,0.008257865905761719,1,1,1,1
2,71,0.0,1,1,1,1
2,72,0.003999471664428711,1,1,1,1
2,73,0.004000663757324219,1,1,1,1
2,74,0.003973960876464844,0,2,0,2
2,75,0.0039675235748291016,1,1,1,1
2,76,0.00397038459777832,2,0,2,0
2,77,0.003998517990112305,1,1,1,1
2,78,0.0,0,2,0,2
2,79,0.0,0,2,0,2
2,80,0.0039980411529541016,0,2,0,2
2,81,0.003998994827270508,0,2,0,2
2,82,0.0,2,0,2,0
2,83,0.0,1,1,1,1
2,84,0.003967761993408203,2,0,2,0
2,85,0.003973484039306641,1,1,1,1
2,86,0.003973722457885742,0,2,0,2
2,87,0.003999233245849609,1,1,1,1
2,88,0.003997802734375,1,1,1,1
2,89,0.0,0,2,0,2
2,90,0.0,1,1,1,1
2,91,0.0,1,1,1,1
2,92,0.0,2,0,2,0
2,93,0.00398564338684082,0,2,0,2
2,94,0.0039975643157958984,1,1,1,1
2,95,0.0039730072021484375,0,2,0,2
2,96,0.003998756408691406,1,1,1,1
2,97,0.007995843887329102,0,2,0,2
2,98,0.003998994827270508,0,2,0,2
2,99,0.0,2,0,2,0
2,100,0.004000186920166016,2,0,2,0
2,101,0.0,1,1,1,1
2,102,0.0,1,1,1,1
2,103,0.0,2,0,2,0
2,104,0.0,2,0,2,0
2,105,0.0,2,0,2,0
2,106,0.0,1,1,1,1
2,107,0.004000425338745117,1,1,1,1
2,108,0.00397181510925293,1,1,1,1
2,109,0.004342794418334961,1,1,1,1
2,110,0.0040035247802734375,1,1,1,1
2,111,0.003998756408691406,0,2,0,2
2,112,0.0,0,2,0,2
2,113,0.0039675235748291016,1,1,1,1
2,114,0.003999233245849609,2,0,2,0
2,115,0.008004426956176758,2,0,2,0
2,116,0.003990888595581055,1,1,1,1
2,117,0.003993511199951172,1,1,1,1
2,118,0.0,1,1,1,1
2,119,0.0039975643157958984,0,2,0,2
2,120,0.0,2,0,2,0
2,121,0.01218724250793457,0,2,0,2
2,122,0.0,1,1,1,1
2,123,0.003973960876464844,1,1,1,1
2,124,0.003968000411987305,1,1,1,1
2,125,0.003972530364990234,0,2,0,2
2,126,0.003999471664428711,1,1,1,1
2,127,0.003996133804321289,2,0,2,0
2,128,0.0,0,2,0,2
2,129,0.0,1,1,1,1
2,130,0.009755611419677734,1,1,1,1
2,131,0.0,0,2,0,2
2,132,0.0039675235748291016,0,2,0,2
2,133,0.003996372222900391,1,1,1,1
2,134,0.0,0,2,0,2
2,135,0.003996133804321289,2,0,2,0
2,136,0.003971576690673828,1,1,1,1
2,137,0.0,1,1,1,1
2,138,0.00397491455078125,1,1,1,1
2,139,0.003999471664428711,0,2,0,2
2,140,0.015622377395629883,1,1,1,1
2,141,0.00400233268737793,1,1,1,1
2,142,0.003994941711425781,0,2,0,2
2,143,0.0,1,1,1,1
2,144,0.0,0,2,0,2
2,145,0.0,1,1,1,1
2,146,0.003988504409790039,1,1,1,1
2,147,0.007972002029418945,1,1,1,1
2,148,0.0040035247802734375,1,1,1,1
2,149,0.0039958953857421875,1,1,1,1
2,150,0.0,0,2,0,2
2,151,0.0039975643157958984,1,1,1,1
2,152,0.0,1,1,1,1
2,153,0.0,1,1,1,1
2,154,0.0,1,1,1,1
2,155,0.004126071929931641,2,0,2,0
2,156,0.0,0,2,0,2
2,157,0.00397491455078125,0,2,0,2
2,158,0.007991552352905273,1,1,1,1
2,159,0.015624523162841797,1,1,1,1
2,160,0.003996372222900391,1,1,1,1
2,161,0.0,0,2,0,2
2,162,0.0,0,2,0,2
2,163,0.00410771369934082,1,1,1,1
2,164,0.003973484039306641,1,1,1,1
2,165,0.0039730072021484375,1,1,1,1
2,166,0.007966756820678711,1,1,1,1
2,167,0.003999948501586914,1,1,1,1
2,168,0.003992557525634766,2,0,2,0
2,169,0.0,2,0,2,0
2,170,0.015626192092895508,1,1,1,1
2,171,0.003998279571533203,1,1,1,1
2,172,0.003998756408691406,0,2,0,2
2,173,0.0,1,1,1,1
2,174,0.0039713382720947266,0,2,0,2
2,175,0.003972291946411133,1,1,1,1
2,176,0.003999948501586914,1,1,1,1
2,177,0.003998279571533203,0,2,0,2
2,178,0.003990888595581055,0,2,0,2
2,179,0.0,0,2,0,2
2,180,0.015851497650146484,1,1,1,1
2,181,0.003999948501586914,0,2,0,2
2,182,0.003995656967163086,2,0,2,0
2,183,0.0039730072021484375,1,1,1,1
2,184,0.003998756408691406,1,1,1,1
2,185,0.00397038459777832,1,1,1,1
2,186,0.0039980411529541016,1,1,1,1
2,187,0.003994464874267578,1,1,1,1
2,188,0.00397181510925293,1,1,1,1
2,189,0.0,1,1,1,1
2,190,0.003998994827270508,1,1,1,1
2,191,0.0040013790130615234,1,1,1,1
2,192,0.0,0,2,0,2
2,193,0.0,2,0,2,0
2,194,0.003969669342041016,0,2,0,2
2,195,0.003966569900512695,0,2,0,2
2,196,0.003970146179199219,1,1,1,1
2,197,0.003969669342041016,2,0,2,0
2,198,0.003973245620727539,1,1,1,1
2,199,0.0039675235748291016,1,1,1,1
2,200,0.0,1,1,1,1
2,201,0.013252496719360352,0,2,0,2
2,202,0.0,1,1,1,1
2,203,0.0,1,1,1,1
2,204,0.0,0,2,0,2
2,205,0.00400233268737793,1,1,1,1
2,206,0.003993511199951172,1,1,1,1
2,207,0.0039975643157958984,2,0,2,0
2,208,0.00399327278137207,2,0,2,0
2,209,0.0,2,0,2,0
2,210,0.013537168502807617,0,2,0,2
2,211,0.004000186920166016,1,1,1,1
2,212,0.0,0,2,0,2
2,213,0.0,1,1,1,1
2,214,0.003983497619628906,1,1,1,1
2,215,0.003996849060058594,0,2,0,2
2,216,0.004000663757324219,0,2,0,2
2,217,0.0,0,2,0,2
2,218,0.00396728515625,2,0,2,0
2,219,0.0039675235748291016,1,1,1,1
2,220,0.015623092651367188,0,2,0,2
2,221,0.0039997100830078125,0,2,0,2
2,222,0.003996133804321289,1,1,1,1
2,223,0.003970146179199219,2,0,2,0
2,224,0.004067897796630859,1,1,1,1
2,225,0.004050254821777344,0,2,0,2
2,226,0.007993698120117188,1,1,1,1
2,227,0.015967607498168945,1,1,1,1
2,228,0.00397491455078125,1,1,1,1
2,229,0.003998756408691406,2,0,2,0
2,230,0.0,0,2,0,2
2,231,0.0032227039337158203,1,1,1,1
2,232,0.004000186920166016,2,0,2,0
2,233,0.0,2,0,2,0
2,234,0.003968715667724609,2,0,2,0
2,235,0.004925251007080078,1,1,1,1
2,236,0.003968954086303711,2,0,2,0
2,237,0.003997802734375,1,1,1,1
2,238,0.007997274398803711,1,1,1,1
2,239,0.0,1,1,1,1
2,240,0.010310888290405273,2,0,2,0
2,241,0.0,2,0,2,0
2,242,0.0,0,2,0,2
2,243,0.11774659156799316,1,1,1,1
2,244,0.004000663757324219,0,2,0,2
2,245,0.003995418548583984,2,0,2,0
2,246,0.003992795944213867,0,2,0,2
2,247,0.003998517990112305,2,0,2,0
2,248,0.0,0,2,0,2
2,249,0.003969430923461914,1,1,1,1
2,250,0.0,0,2,0,2
n agents,stepcount,steptime,cooperating,defecting,coop total,defect total
2,1,0.01599597930908203,0,2,0,2
2,2,0.0,1,1,1,1
2,3,0.008030891418457031,0,2,0,2
2,4,0.004004716873168945,0,2,0,2
2,5,0.0,1,1,1,1
2,6,0.0,1,1,1,1
2,7,0.0039980411529541016,2,0,2,0
2,8,0.003998279571533203,1,1,1,1
2,9,0.0039980411529541016,1,1,1,1
2,10,0.0,0,2,0,2
2,11,0.0,0,2,0,2
2,12,0.0,2,0,2,0
2,13,0.0039980411529541016,0,2,0,2
n agents,stepcount,steptime,cooperating,defecting,coop total,defect total
2,1,0.0,0,2,0,2
2,2,0.0,1,1,1,1
2,3,0.0041027069091796875,1,1,1,1
2,4,0.0,2,0,2,0
2,5,0.00396728515625,1,1,1,1
2,6,0.003996372222900391,2,0,2,0
2,7,0.003992795944213867,1,1,1,1
2,8,0.003972530364990234,2,0,2,0
2,9,0.003968000411987305,2,0,2,0
n agents,stepcount,steptime,cooperating,defecting,coop total,defect total
2,1,0.0,1,1,1,1
2,2,0.004049539566040039,1,1,1,1
2,3,0.0,1,1,1,1
2,4,0.00396728515625,1,1,1,1
2,5,0.0039675235748291016,1,1,1,1
2,6,0.00397038459777832,1,1,1,1
2,7,0.003991603851318359,0,2,0,2
2,8,0.003998517990112305,1,1,1,1
