stepcount_23,strategy_23,strat code_23,move_23,probabilities_23,utility_23,common_move_23,number_coop_23,number_defect_23,outcomes_23,u1_23,u2_23,u3_23,u4_23,m1_23,m2_23,m3_23,m4_23,uv_23,ps_23,nc_23,mutC_23,simP_23,avp1_23,avp2_23,avp3_23,avp4_23,globav_23,epsilon_23,alpha_23,mood_23
True,MOODYLEARN,9,"{24: 'C', 22: 'C', 18: 'C'}","{24: 0.020000000000000018, 22: 0.020000000000000018, 18: 0.020000000000000018}",0,['C'],6,0,"{24: ['C', 'C'], 22: ['C', 'C'], 18: ['C', 'C']}",3,3,3,None,1,1,1,None,0.06,"{24: [0, 24, 'NEUTRAL'], 22: ['C', 22, 'NEUTRAL'], 18: ['C', 18, 'NEUTRAL']}",6,3,3,1.5,1.5,1.5,None,1.5,0.5,0.1,58.25
2,MOODYLEARN,9,"{24: 'C', 22: 'C', 18: 'C'}","{24: 0.001, 22: 0.001, 18: 0.001}",9,['C'],2,1,"{24: ['C', 'C'], 22: ['C', 'C'], 18: ['C', 'C']}",6,6,6,None,1,1,1,None,0.105,"{24: ['C', 24, 'NEUTRAL'], 22: ['C', 22, 'NEUTRAL'], 18: ['C', 18, 'HIGH']}",2,3,6,2,2,2,None,2,0.5,0.1,67.45875000000001
3,MOODYLEARN,9,"{24: 'C', 22: 'C', 18: 'D'}","{24: 0.001, 22: 0.001, 18: 0.001}",18,['C'],1,2,"{24: ['C', 'D'], 22: ['C', 'D'], 18: ['D', 'C']}",6,6,11,None,1,1,2,None,0.105,"{24: ['D', 24, 'NEUTRAL'], 22: ['D', 22, 'HIGH'], 18: ['C', 18, 'HIGH']}",1,0,9,1.5,1.5,2.75,None,1.9166666666666667,0.5,0.1,72.30115374316408
4,MOODYLEARN,9,"{24: 'D', 22: 'C', 18: 'D'}","{24: 0.001, 22: 0.001, 18: 0.001}",23,['D'],2,1,"{24: ['D', 'C'], 22: ['C', 'C'], 18: ['D', 'C']}",11,9,16,None,2,1,2,None,0.105,"{24: ['C', 24, 'HIGH'], 22: ['C', 22, 'HIGH'], 18: ['C', 18, 'HIGH']}",2,1,12,2.2,1.8,3.2,None,2.4000000000000004,0.0001,0.1,85.32189222584621
5,MOODYLEARN,9,"{24: 'C', 22: 'C', 18: 'D'}","{24: 0.001, 22: 0.001, 18: 0.106}",36,['C'],3,0,"{24: ['C', 'C'], 22: ['C', 'C'], 18: ['D', 'D']}",14,12,17,None,1,1,2,None,0.105,"{24: ['C', 24, 'HIGH'], 22: ['C', 22, 'HIGH'], 18: ['D', 18, 'HIGH']}",3,2,15,2.3333333333333335,2,2.8333333333333335,None,2.388888888888889,0.0001,0.1,92.39023675215498
6,MOODYLEARN,9,"{24: 'C', 22: 'C', 18: 'C'}","{24: 0.001, 22: 0.001, 18: 0.001}",43,['C'],2,1,"{24: ['C', 'C'], 22: ['C', 'C'], 18: ['C', 'C']}",17,15,20,None,1,1,1,None,0.105,"{24: ['C', 24, 'HIGH'], 22: ['C', 22, 'HIGH'], 18: ['C', 18, 'HIGH']}",2,3,18,2.4285714285714284,2.142857142857143,2.857142857142857,None,2.4761904761904763,0.0001,0.1,99.999
7,MOODYLEARN,9,"{24: 'C', 22: 'C', 18: 'D'}","{24: 0.001, 22: 0.001, 18: 0.001}",52,['C'],2,1,"{24: ['C', 'C'], 22: ['C', 'C'], 18: ['D', 'C']}",20,18,25,None,1,1,2,None,0.105,"{24: ['C', 24, 'HIGH'], 22: ['C', 22, 'HIGH'], 18: ['C', 18, 'HIGH']}",2,2,21,2.5,2.25,3.125,None,2.625,0.0001,0.1,99.999
8,MOODYLEARN,9,"{24: 'C', 22: 'C', 18: 'D'}","{24: 0.001, 22: 0.001, 18: 0.001}",63,['C'],2,1,"{24: ['C', 'C'], 22: ['C', 'C'], 18: ['D', 'C']}",23,21,30,None,1,1,2,None,0.105,"{24: ['C', 24, 'HIGH'], 22: ['C', 22, 'HIGH'], 18: ['C', 18, 'HIGH']}",2,2,24,2.5555555555555554,2.3333333333333335,3.3333333333333335,None,2.740740740740741,0.0001,0.1,99.999
9,MOODYLEARN,9,"{24: 'C', 22: 'C', 18: 'D'}","{24: 0.001, 22: 0.001, 18: 0.001}",74,['C'],2,1,"{24: ['C', 'C'], 22: ['C', 'C'], 18: ['D', 'C']}",26,24,35,None,1,1,2,None,0.105,"{24: ['C', 24, 'HIGH'], 22: ['C', 22, 'HIGH'], 18: ['C', 18, 'HIGH']}",2,2,27,2.6,2.4,3.5,None,2.8333333333333335,0.0001,0.1,99.999
10,MOODYLEARN,9,"{24: 'C', 22: 'C', 18: 'D'}","{24: 0.001, 22: 0.001, 18: 0.001}",85,['C'],2,1,"{24: ['C', 'C'], 22: ['C', 'C'], 18: ['D', 'C']}",29,27,40,None,1,1,2,None,0.105,"{24: ['C', 24, 'HIGH'], 22: ['C', 22, 'HIGH'], 18: ['C', 18, 'HIGH']}",2,2,30,2.6363636363636362,2.4545454545454546,3.6363636363636362,None,2.909090909090909,0.0001,0.1,99.999
11,MOODYLEARN,9,"{24: 'C', 22: 'C', 18: 'D'}","{24: 0.001, 22: 0.001, 18: 0.001}",96,['C'],2,1,"{24: ['C', 'C'], 22: ['C', 'C'], 18: ['D', 'C']}",32,30,45,None,1,1,2,None,0.105,"{24: ['C', 24, 'HIGH'], 22: ['C', 22, 'HIGH'], 18: ['C', 18, 'HIGH']}",2,2,33,2.6666666666666665,2.5,3.75,None,2.9722222222222223,0.0001,0.1,99.999
12,MOODYLEARN,9,"{24: 'C', 22: 'C', 18: 'D'}","{24: 0.001, 22: 0.001, 18: 0.001}",107,['C'],2,1,"{24: ['C', 'C'], 22: ['C', 'C'], 18: ['D', 'C']}",35,33,50,None,1,1,2,None,0.105,"{24: ['C', 24, 'HIGH'], 22: ['C', 22, 'HIGH'], 18: ['C', 18, 'HIGH']}",2,2,36,2.6923076923076925,2.5384615384615383,3.8461538461538463,None,3.0256410256410255,0.0001,0.1,99.999
13,MOODYLEARN,9,"{24: 'C', 22: 'C', 18: 'D'}","{24: 0.001, 22: 0.001, 18: 0.001}",118,['C'],2,1,"{24: ['C', 'C'], 22: ['C', 'C'], 18: ['D', 'C']}",38,36,55,None,1,1,2,None,0.105,"{24: ['C', 24, 'HIGH'], 22: ['C', 22, 'HIGH'], 18: ['C', 18, 'HIGH']}",2,2,39,2.7142857142857144,2.5714285714285716,3.9285714285714284,None,3.0714285714285716,0.0001,0.1,99.999
14,MOODYLEARN,9,"{24: 'C', 22: 'C', 18: 'D'}","{24: 0.001, 22: 0.001, 18: 0.001}",129,['C'],2,1,"{24: ['C', 'C'], 22: ['C', 'C'], 18: ['D', 'C']}",41,39,60,None,1,1,2,None,0.105,"{24: ['C', 24, 'HIGH'], 22: ['C', 22, 'HIGH'], 18: ['C', 18, 'HIGH']}",2,2,42,2.7333333333333334,2.6,4,None,3.111111111111111,0.0001,0.1,99.999
