n agents,stepcount,steptime,cooperating,defecting,coop total,defect total
25,1,0.5311000347137451,25,0,160,0
25,2,0.8903534412384033,50,0,214,26
25,3,0.8591744899749756,68,5,273,47
25,4,0.8747568130493164,89,8,336,64
25,5,0.8591518402099609,110,11,398,82
25,6,0.874769926071167,131,12,464,96
25,7,0.8591363430023193,151,13,526,114
25,8,0.8591487407684326,173,13,591,129
25,9,0.8747637271881104,193,15,651,149
25,10,0.8591105937957764,214,17,710,170
25,11,0.8747975826263428,233,19,770,190
25,12,0.8591403961181641,254,21,829,211
25,13,0.8591477870941162,273,23,888,232
25,14,0.8903853893280029,293,25,947,253
25,15,0.8591387271881104,312,27,1006,274
25,16,0.8903861045837402,332,29,1065,295
25,17,0.8591434955596924,351,31,1124,316
25,18,0.8747706413269043,371,33,1183,337
25,19,0.8591420650482178,390,35,1242,358
25,20,0.8747313022613525,410,37,1301,379
25,21,0.8747644424438477,429,39,1360,400
25,22,0.8591437339782715,449,41,1419,421
25,23,0.8747649192810059,468,43,1478,442
25,24,0.8591749668121338,488,45,1537,463
25,25,0.8591408729553223,507,47,1596,484
25,26,0.8747363090515137,527,49,1655,505
25,27,0.8591766357421875,546,51,1714,526
25,28,0.8903863430023193,566,53,1773,547
25,29,0.859142541885376,585,55,1832,568
25,30,0.8747644424438477,605,57,1891,589
25,31,0.8591451644897461,624,59,1950,610
25,32,0.8591098785400391,644,61,2009,631
25,33,0.8747930526733398,663,63,2068,652
25,34,0.8591153621673584,683,65,2127,673
25,35,0.8904197216033936,702,67,2186,694
25,36,0.8591423034667969,722,69,2245,715
25,37,0.8591105937957764,741,71,2304,736
25,38,0.8747656345367432,761,73,2363,757
25,39,0.859142541885376,780,75,2422,778
25,40,0.8748009204864502,800,77,2481,799
25,41,0.8747282028198242,819,79,2540,820
25,42,0.8747646808624268,839,81,2599,841
25,43,0.8591442108154297,858,83,2658,862
25,44,0.890413761138916,878,85,2717,883
25,45,0.8747668266296387,897,87,2776,904
25,46,0.8747642040252686,917,89,2835,925
25,47,0.8747348785400391,936,91,2894,946
25,48,0.8747632503509521,956,93,2953,967
25,49,0.8591725826263428,975,95,3012,988
25,50,0.8903567790985107,995,97,3071,1009
25,51,0.859175443649292,1014,99,3130,1030
25,52,0.8903868198394775,1034,101,3189,1051
25,53,0.8591451644897461,1053,103,3248,1072
25,54,0.8747642040252686,1073,105,3307,1093
25,55,0.8591442108154297,1092,107,3366,1114
25,56,0.8591725826263428,1112,109,3425,1135
25,57,0.8747692108154297,1131,111,3484,1156
25,58,0.859142541885376,1151,113,3543,1177
25,59,0.8747611045837402,1170,115,3602,1198
25,60,0.8591437339782715,1190,117,3661,1219
25,61,0.8591716289520264,1209,119,3720,1240
25,62,0.8903858661651611,1229,121,3779,1261
25,63,0.8591482639312744,1248,123,3838,1282
25,64,0.8903865814208984,1268,125,3897,1303
25,65,0.8591091632843018,1287,127,3956,1324
25,66,0.8747937679290771,1307,129,4015,1345
25,67,0.8747642040252686,1326,131,4074,1366
25,68,0.8747355937957764,1346,133,4133,1387
25,69,0.8747646808624268,1365,135,4192,1408
25,70,0.8591439723968506,1385,137,4251,1429
25,71,0.8747975826263428,1404,139,4310,1450
25,72,0.874765157699585,1424,141,4369,1471
25,73,0.8591454029083252,1443,143,4428,1492
25,74,0.890385627746582,1463,145,4487,1513
25,75,0.8591413497924805,1482,147,4546,1534
25,76,0.8747639656066895,1502,149,4605,1555
25,77,0.874760627746582,1521,151,4664,1576
25,78,0.8591456413269043,1541,153,4723,1597
25,79,0.8903889656066895,1560,155,4782,1618
25,80,0.8591384887695312,1580,157,4841,1639
25,81,0.8747687339782715,1599,159,4900,1660
25,82,0.8591110706329346,1619,161,4959,1681
25,83,0.8904199600219727,1638,163,5018,1702
25,84,0.8591399192810059,1658,165,5077,1723
25,85,0.8747637271881104,1677,167,5136,1744
25,86,0.8903558254241943,1697,169,5195,1765
25,87,0.8591713905334473,1716,171,5254,1786
25,88,0.8747682571411133,1736,173,5313,1807
25,89,0.8747329711914062,1755,175,5372,1828
25,90,0.8591747283935547,1775,177,5431,1849
25,91,0.8903541564941406,1794,179,5490,1870
25,92,0.8591718673706055,1814,181,5549,1891
25,93,0.8747365474700928,1833,183,5608,1912
