stepcount_11,strategy_11,strat code_11,move_11,probabilities_11,utility_11,common_move_11,number_coop_11,number_defect_11,outcomes_11,u1_11,u2_11,u3_11,u4_11,m1_11,m2_11,m3_11,m4_11,uv_11,ps_11,nc_11,mutC_11,simP_11,avp1_11,avp2_11,avp3_11,avp4_11,globav_11,epsilon_11,alpha_11,mood_11
True,MOODYLEARN,9,"{12: 'D', 16: 'D', 6: 'D'}","{12: 0.26, 16: 0.26, 6: 0.26}",0,['D'],0,6,"{12: ['D', 'D'], 16: ['D', 'D'], 6: ['D', 'D']}",1,1,1,None,2,2,2,None,0.06,"{12: [0, 12, 'NEUTRAL'], 16: [0, 16, 'NEUTRAL'], 6: ['D', 6, 'NEUTRAL']}",0,0,3,0.5,0.5,0.5,None,0.5,0.5,0.1,52.50375
2,MOODYLEARN,9,"{12: 'D', 16: 'D', 6: 'D'}","{12: 0.365, 16: 0.365, 6: 0.365}",3,['D'],3,0,"{12: ['D', 'D'], 16: ['D', 'D'], 6: ['D', 'D']}",2,2,2,None,2,2,2,None,0.105,"{12: ['D', 12, 'NEUTRAL'], 16: ['D', 16, 'NEUTRAL'], 6: ['D', 6, 'NEUTRAL']}",3,0,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,None,0.6666666666666666,0.5,0.1,55.66027223263889
3,MOODYLEARN,9,"{12: 'C', 16: 'C', 6: 'C'}","{12: 0.365, 16: 0.04999999999999999, 6: 0.04999999999999999}",6,['C'],2,1,"{12: ['C', 'D'], 16: ['C', 'C'], 6: ['C', 'C']}",2,5,5,None,1,1,1,None,0.105,"{12: ['D', 12, 'NEUTRAL'], 16: ['C', 16, 'NEUTRAL'], 6: ['C', 6, 'NEUTRAL']}",2,2,9,0.5,1.25,1.25,None,1.0,0.5,0.1,61.84545217902285
4,MOODYLEARN,9,"{12: 'D', 16: 'C', 6: 'C'}","{12: 0.47, 16: 0.001, 6: 0.001}",12,['C'],3,0,"{12: ['D', 'D'], 16: ['C', 'C'], 6: ['C', 'C']}",3,8,8,None,2,1,1,None,0.105,"{12: ['D', 12, 'HIGH'], 16: ['C', 16, 'NEUTRAL'], 6: ['C', 6, 'HIGH']}",3,2,12,0.6,1.6,1.6,None,1.2666666666666666,0.5,0.1,68.53825151700482
5,MOODYLEARN,9,"{12: 'C', 16: 'C', 6: 'C'}","{12: 0.47, 16: 0.001, 6: 0.001}",19,['C'],0,3,"{12: ['C', 'D'], 16: ['C', 'C'], 6: ['C', 'C']}",3,11,11,None,1,1,1,None,0.105,"{12: ['D', 12, 'HIGH'], 16: ['C', 16, 'HIGH'], 6: ['C', 6, 'HIGH']}",0,2,15,0.5,1.8333333333333333,1.8333333333333333,None,1.3888888888888888,0.5,0.1,74.26639054836326
6,MOODYLEARN,9,"{12: 'D', 16: 'D', 6: 'D'}","{12: 0.001, 16: 0.001, 6: 0.001}",25,['D'],3,0,"{12: ['D', 'C'], 16: ['D', 'C'], 6: ['D', 'C']}",8,16,16,None,2,2,2,None,0.105,"{12: ['C', 12, 'HIGH'], 16: ['C', 16, 'HIGH'], 6: ['C', 6, 'HIGH']}",3,0,18,1.1428571428571428,2.2857142857142856,2.2857142857142856,None,1.9047619047619047,0.5,0.1,89.21150048838118
7,MOODYLEARN,9,"{12: 'C', 16: 'C', 6: 'C'}","{12: 0.001, 16: 0.001, 6: 0.001}",40,['C'],2,1,"{12: ['C', 'C'], 16: ['C', 'C'], 6: ['C', 'C']}",11,19,19,None,1,1,1,None,0.105,"{12: ['C', 12, 'HIGH'], 16: ['C', 16, 'HIGH'], 6: ['C', 6, 'HIGH']}",2,3,21,1.375,2.375,2.375,None,2.0416666666666665,0.09999999999999998,0.1,98.25234809686634
8,MOODYLEARN,9,"{12: 'C', 16: 'C', 6: 'D'}","{12: 0.001, 16: 0.001, 6: 0.001}",49,['C'],1,2,"{12: ['C', 'C'], 16: ['C', 'C'], 6: ['D', 'C']}",14,22,24,None,1,1,2,None,0.105,"{12: ['C', 12, 'HIGH'], 16: ['C', 16, 'HIGH'], 6: ['C', 6, 'HIGH']}",1,2,24,1.5555555555555556,2.4444444444444446,2.6666666666666665,None,2.2222222222222223,0.0001,0.1,99.999
9,MOODYLEARN,9,"{12: 'D', 16: 'D', 6: 'C'}","{12: 0.001, 16: 0.001, 6: 0.001}",60,['D'],2,1,"{12: ['D', 'C'], 16: ['D', 'C'], 6: ['C', 'C']}",19,27,27,None,2,2,1,None,0.105,"{12: ['C', 12, 'HIGH'], 16: ['C', 16, 'HIGH'], 6: ['C', 6, 'HIGH']}",2,1,27,1.9,2.7,2.7,None,2.4333333333333336,0.0001,0.1,99.999
10,MOODYLEARN,9,"{12: 'C', 16: 'C', 6: 'D'}","{12: 0.001, 16: 0.001, 6: 0.001}",73,['C'],1,2,"{12: ['C', 'C'], 16: ['C', 'C'], 6: ['D', 'C']}",22,30,32,None,1,1,2,None,0.105,"{12: ['C', 12, 'HIGH'], 16: ['C', 16, 'HIGH'], 6: ['C', 6, 'HIGH']}",1,2,30,2,2.727272727272727,2.909090909090909,None,2.5454545454545454,0.0001,0.1,99.999
11,MOODYLEARN,9,"{12: 'D', 16: 'D', 6: 'C'}","{12: 0.001, 16: 0.001, 6: 0.001}",84,['D'],2,1,"{12: ['D', 'C'], 16: ['D', 'C'], 6: ['C', 'C']}",27,35,35,None,2,2,1,None,0.105,"{12: ['C', 12, 'HIGH'], 16: ['C', 16, 'HIGH'], 6: ['C', 6, 'HIGH']}",2,1,33,2.25,2.9166666666666665,2.9166666666666665,None,2.694444444444444,0.0001,0.1,99.999
12,MOODYLEARN,9,"{12: 'C', 16: 'C', 6: 'D'}","{12: 0.001, 16: 0.001, 6: 0.001}",97,['C'],1,2,"{12: ['C', 'C'], 16: ['C', 'C'], 6: ['D', 'C']}",30,38,40,None,1,1,2,None,0.105,"{12: ['C', 12, 'HIGH'], 16: ['C', 16, 'HIGH'], 6: ['C', 6, 'HIGH']}",1,2,36,2.3076923076923075,2.923076923076923,3.076923076923077,None,2.769230769230769,0.0001,0.1,99.999
13,MOODYLEARN,9,"{12: 'D', 16: 'D', 6: 'C'}","{12: 0.001, 16: 0.001, 6: 0.001}",108,['D'],2,1,"{12: ['D', 'C'], 16: ['D', 'C'], 6: ['C', 'C']}",35,43,43,None,2,2,1,None,0.105,"{12: ['C', 12, 'HIGH'], 16: ['C', 16, 'HIGH'], 6: ['C', 6, 'HIGH']}",2,1,39,2.5,3.0714285714285716,3.0714285714285716,None,2.880952380952381,0.0001,0.1,99.999
14,MOODYLEARN,9,"{12: 'C', 16: 'C', 6: 'D'}","{12: 0.001, 16: 0.001, 6: 0.001}",121,['C'],0,3,"{12: ['C', 'C'], 16: ['C', 'C'], 6: ['D', 'C']}",38,46,48,None,1,1,2,None,0.105,"{12: ['C', 12, 'HIGH'], 16: ['C', 16, 'HIGH'], 6: ['C', 6, 'HIGH']}",0,2,42,2.533333333333333,3.066666666666667,3.2,None,2.9333333333333336,0.0001,0.1,99.999
15,MOODYLEARN,9,"{12: 'D', 16: 'D', 6: 'D'}","{12: 0.001, 16: 0.001, 6: 0.001}",132,['D'],2,1,"{12: ['D', 'C'], 16: ['D', 'C'], 6: ['D', 'C']}",43,51,53,None,2,2,2,None,0.105,"{12: ['C', 12, 'HIGH'], 16: ['C', 16, 'HIGH'], 6: ['C', 6, 'HIGH']}",2,0,45,2.6875,3.1875,3.3125,None,3.0625,0.0001,0.1,99.999
16,MOODYLEARN,9,"{12: 'C', 16: 'C', 6: 'D'}","{12: 0.001, 16: 0.001, 6: 0.001}",147,['C'],0,3,"{12: ['C', 'C'], 16: ['C', 'C'], 6: ['D', 'C']}",46,54,58,None,1,1,2,None,0.105,"{12: ['C', 12, 'HIGH'], 16: ['C', 16, 'HIGH'], 6: ['C', 6, 'HIGH']}",0,2,48,2.7058823529411766,3.176470588235294,3.411764705882353,None,3.0980392156862746,0.0001,0.1,99.999
17,MOODYLEARN,9,"{12: 'D', 16: 'D', 6: 'D'}","{12: 0.001, 16: 0.001, 6: 0.001}",158,['D'],1,2,"{12: ['D', 'C'], 16: ['D', 'C'], 6: ['D', 'C']}",51,59,63,None,2,2,2,None,0.105,"{12: ['C', 12, 'HIGH'], 16: ['C', 16, 'HIGH'], 6: ['C', 6, 'HIGH']}",1,0,51,2.8333333333333335,3.2777777777777777,3.5,None,3.2037037037037037,0.0001,0.1,99.999
18,MOODYLEARN,9,"{12: 'C', 16: 'D', 6: 'D'}","{12: 0.001, 16: 0.001, 6: 0.001}",173,['D'],0,3,"{12: ['C', 'C'], 16: ['D', 'C'], 6: ['D', 'C']}",54,64,68,None,1,2,2,None,0.105,"{12: ['C', 12, 'HIGH'], 16: ['C', 16, 'HIGH'], 6: ['C', 6, 'HIGH']}",0,1,54,2.8421052631578947,3.3684210526315788,3.5789473684210527,None,3.263157894736842,0.0001,0.1,99.999
19,MOODYLEARN,9,"{12: 'D', 16: 'D', 6: 'D'}","{12: 0.001, 16: 0.001, 6: 0.001}",186,['D'],1,2,"{12: ['D', 'C'], 16: ['D', 'C'], 6: ['D', 'C']}",59,69,73,None,2,2,2,None,0.105,"{12: ['C', 12, 'HIGH'], 16: ['C', 16, 'HIGH'], 6: ['C', 6, 'HIGH']}",1,0,57,2.95,3.45,3.65,None,3.35,0.0001,0.1,99.999
