,Cooperations,Defections,Cooperators,Defectors,TFT Performance,TFT Cooperations,VPP Performance,VPP Cooperations,WSLS Performance,WSLS Cooperations,Model Params
0,0,0,0,0,0.0,0,0,0,0.0,0,"(16, 0.001, 0.1)"
1,8,0,0,0,4.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
2,8,0,0,0,9.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
3,8,0,0,0,13.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
4,8,0,0,0,18.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
5,8,0,0,0,22.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
6,8,0,0,0,27.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
7,8,0,0,0,31.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
8,8,0,0,0,36.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
9,8,0,0,0,40.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
10,8,0,0,0,45.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
11,8,0,0,0,49.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
12,8,0,0,0,54.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
13,8,0,0,0,58.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
14,8,0,0,0,63.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
15,8,0,0,0,67.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
16,8,0,0,0,72.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
17,8,0,0,0,76.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
18,8,0,0,0,81.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
19,8,0,0,0,85.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
20,8,0,0,0,90.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
21,8,0,0,0,94.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
22,8,0,0,0,99.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
