,Cooperations,Defections,Cooperators,Defectors,TFT Performance,TFT Cooperations,VPP Performance,VPP Cooperations,WSLS Performance,WSLS Cooperations,iWSLS Performance,iWSLS Cooperations,Model Params
0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,"(47, 0.015, 0.7)"
1,88,52,27,18,-7.0,28,24.5,14,-28,14,0,0,"(47, 0.015, 0.7)"
2,81,59,17,17,28.0,14,38.5,7,-7,14,0,0,"(47, 0.015, 0.7)"
3,71,69,23,16,70.0,14,49.0,14,-14,0,0,0,"(47, 0.015, 0.7)"
4,80,60,18,16,84.0,21,98.0,0,-21,7,0,0,"(47, 0.015, 0.7)"
5,71,69,21,16,126.0,14,87.5,21,-21,7,0,0,"(47, 0.015, 0.7)"
6,74,66,19,19,140.0,21,126.0,7,-7,7,0,0,"(47, 0.015, 0.7)"
7,70,70,21,17,182.0,14,143.5,14,-35,0,0,0,"(47, 0.015, 0.7)"
8,76,64,19,19,196.0,21,182.0,7,-21,14,0,0,"(47, 0.015, 0.7)"
9,70,70,21,17,238.0,14,199.5,14,-49,0,0,0,"(47, 0.015, 0.7)"
10,76,64,19,19,252.0,21,238.0,7,-35,14,0,0,"(47, 0.015, 0.7)"
11,70,70,21,17,294.0,14,255.5,14,-63,0,0,0,"(47, 0.015, 0.7)"
12,76,64,19,19,308.0,21,294.0,7,-49,14,0,0,"(47, 0.015, 0.7)"
13,70,70,21,17,350.0,14,311.5,14,-77,0,0,0,"(47, 0.015, 0.7)"
14,76,64,19,19,364.0,21,350.0,7,-63,14,0,0,"(47, 0.015, 0.7)"
15,70,70,21,17,406.0,14,367.5,14,-91,0,0,0,"(47, 0.015, 0.7)"
16,77,63,19,18,444.5,21,402.5,14,-77,14,0,0,"(47, 0.015, 0.7)"
17,71,69,22,17,483.0,21,444.5,14,-105,0,0,0,"(47, 0.015, 0.7)"
18,77,63,19,18,521.5,21,479.5,14,-91,14,0,0,"(47, 0.015, 0.7)"
19,71,69,22,17,560.0,21,521.5,14,-119,0,0,0,"(47, 0.015, 0.7)"
20,77,63,19,18,598.5,21,556.5,14,-105,14,0,0,"(47, 0.015, 0.7)"
21,71,69,22,17,637.0,21,598.5,14,-133,0,0,0,"(47, 0.015, 0.7)"
22,77,63,19,18,675.5,21,633.5,14,-119,14,0,0,"(47, 0.015, 0.7)"
23,71,69,22,17,714.0,21,675.5,14,-147,0,0,0,"(47, 0.015, 0.7)"
24,77,63,19,18,752.5,21,710.5,14,-133,14,0,0,"(47, 0.015, 0.7)"
