,Cooperations,Defections,Cooperators,Defectors,TFT Performance,TFT Cooperations,VPP Performance,VPP Cooperations,WSLS Performance,WSLS Cooperations,iWSLS Performance,iWSLS Cooperations,LEARN Performance,MutualCooperations,LEARN Cooperations,moodyLEARN Performance,moodyMutualCooperations,moodyLEARN Cooperations,Model Params
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
1,160,0,25,0,0,0,0,0,0,0,0,0,0,0,0,150,50,100,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2,56,24,25,0,0,0,0,0,0,0,0,0,0,0,0,300,50,25,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
3,63,17,16,2,0,0,0,0,0,0,0,0,0,0,0,500,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
4,66,14,23,2,0,0,0,0,0,0,0,0,0,0,0,650,50,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
5,67,13,22,2,0,0,0,0,0,0,0,0,0,0,0,725,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
6,64,16,23,0,0,0,0,0,0,0,0,0,0,0,0,875,50,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
7,64,16,22,2,0,0,0,0,0,0,0,0,0,0,0,950,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
8,65,15,21,2,0,0,0,0,0,0,0,0,0,0,0,1025,25,25,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
9,64,16,19,2,0,0,0,0,0,0,0,0,0,0,0,1125,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
10,64,16,21,1,0,0,0,0,0,0,0,0,0,0,0,1275,50,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
11,63,17,20,2,0,0,0,0,0,0,0,0,0,0,0,1350,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
12,64,16,21,2,0,0,0,0,0,0,0,0,0,0,0,1425,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
13,62,18,20,2,0,0,0,0,0,0,0,0,0,0,0,1500,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
14,60,20,19,2,0,0,0,0,0,0,0,0,0,0,0,1575,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
15,61,19,19,2,0,0,0,0,0,0,0,0,0,0,0,1650,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
16,62,18,20,2,0,0,0,0,0,0,0,0,0,0,0,1725,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
17,61,19,20,2,0,0,0,0,0,0,0,0,0,0,0,1800,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
18,60,20,19,2,0,0,0,0,0,0,0,0,0,0,0,1875,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
19,61,19,19,2,0,0,0,0,0,0,0,0,0,0,0,1950,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
20,62,18,20,2,0,0,0,0,0,0,0,0,0,0,0,2025,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
21,61,19,20,2,0,0,0,0,0,0,0,0,0,0,0,2100,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
22,60,20,19,2,0,0,0,0,0,0,0,0,0,0,0,2175,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
23,61,19,19,2,0,0,0,0,0,0,0,0,0,0,0,2250,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
24,62,18,20,2,0,0,0,0,0,0,0,0,0,0,0,2325,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
25,61,19,20,2,0,0,0,0,0,0,0,0,0,0,0,2400,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
26,60,20,19,2,0,0,0,0,0,0,0,0,0,0,0,2475,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
27,61,19,19,2,0,0,0,0,0,0,0,0,0,0,0,2550,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
28,62,18,20,2,0,0,0,0,0,0,0,0,0,0,0,2625,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
29,61,19,20,2,0,0,0,0,0,0,0,0,0,0,0,2700,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
30,60,20,19,2,0,0,0,0,0,0,0,0,0,0,0,2775,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
