Density:,0.16666666666666666, Nodes:,4, Edges:,1
Density:,0.16666666666666666, Nodes:,4, Edges:,1
Density:,0.16666666666666666, Nodes:,4, Edges:,1
Density:,0.16666666666666666, Nodes:,4, Edges:,1
Density:,0.16666666666666666, Nodes:,4, Edges:,1
Density:,0.5, Nodes:,4, Edges:,3
Density:,0.5, Nodes:,4, Edges:,3
Density:,0.5, Nodes:,4, Edges:,3
Density:,0.5, Nodes:,4, Edges:,3
Density:,0.5, Nodes:,4, Edges:,3
Density:,0.3333333333333333, Nodes:,4, Edges:,2
Density:,0.3333333333333333, Nodes:,4, Edges:,2
Density:,0.3333333333333333, Nodes:,4, Edges:,2
Density:,0.3333333333333333, Nodes:,4, Edges:,2
Density:,0.3333333333333333, Nodes:,4, Edges:,2
Density:,0.16666666666666666, Nodes:,4, Edges:,1
Density:,0.16666666666666666, Nodes:,4, Edges:,1
Density:,0.16666666666666666, Nodes:,4, Edges:,1
Density:,0.16666666666666666, Nodes:,4, Edges:,1
Density:,0.16666666666666666, Nodes:,4, Edges:,1
Density:,0.3333333333333333, Nodes:,4, Edges:,2
Density:,0.3333333333333333, Nodes:,4, Edges:,2
Density:,0.3333333333333333, Nodes:,4, Edges:,2
Density:,0.3333333333333333, Nodes:,4, Edges:,2
Density:,0.3333333333333333, Nodes:,4, Edges:,2
Density:,0.3333333333333333, Nodes:,4, Edges:,2
Density:,0.3333333333333333, Nodes:,4, Edges:,2
Density:,0.3333333333333333, Nodes:,4, Edges:,2
Density:,0.3333333333333333, Nodes:,4, Edges:,2
Density:,0.3333333333333333, Nodes:,4, Edges:,2
Density:,0.3333333333333333, Nodes:,4, Edges:,2
Density:,0.3333333333333333, Nodes:,4, Edges:,2
Density:,0.3333333333333333, Nodes:,4, Edges:,2
Density:,0.3333333333333333, Nodes:,4, Edges:,2
Density:,0.3333333333333333, Nodes:,4, Edges:,2
Density:,0.3333333333333333, Nodes:,4, Edges:,2
Density:,0.3333333333333333, Nodes:,4, Edges:,2
Density:,0.3333333333333333, Nodes:,4, Edges:,2
Density:,0.3333333333333333, Nodes:,4, Edges:,2
Density:,0.3333333333333333, Nodes:,4, Edges:,2
Density:,0.3333333333333333, Nodes:,4, Edges:,2
Density:,0.3333333333333333, Nodes:,4, Edges:,2
Density:,0.3333333333333333, Nodes:,4, Edges:,2
Density:,0.3333333333333333, Nodes:,4, Edges:,2
Density:,0.3333333333333333, Nodes:,4, Edges:,2
Density:,0.16666666666666666, Nodes:,4, Edges:,1
Density:,0.16666666666666666, Nodes:,4, Edges:,1
Density:,0.16666666666666666, Nodes:,4, Edges:,1
Density:,0.16666666666666666, Nodes:,4, Edges:,1
