score,coops,ppds,class
238,4,0.05,3
375,250,0.05,5
241,3,0.05,3
375,250,0.05,4
375,250,0.05,2
368,40,0.05,5
375,250,0.05,2
375,250,0.05,4
241,3,0.05,3
375,250,0.05,5
375,250,0.05,4
235,5,0.05,3
241,3,0.05,3
375,250,0.05,4
375.5,249,0.05,2
375,250,0.05,5
375,250,0.05,2
371.5,248,0.05,5
244,2,0.1,3
375,250,0.1,4
375,250,0.1,2
375,250,0.1,5
375,250,0.1,2
375,250,0.1,4
241,3,0.1,3
375,250,0.1,5
238,4,0.1,3
375,250,0.1,4
375,250,0.1,2
368.5,93,0.1,5
375,250,0.1,2
375,250,0.1,4
238,4,0.1,3
372,3,0.1,5
375,250,0.1,4
241,3,0.1,3
241,3,0.1,3
345,240,0.1,4
376,248,0.1,2
375,250,0.1,5
375,250,0.1,2
375,250,0.1,5
238,4,0.1,3
375,250,0.1,4
375.5,249,0.1,2
375,250,0.1,5
375,250,0.1,2
363,246,0.1,4
238,4,0.1,3
375,250,0.1,5
238,4,0.1,3
372,249,0.1,4
375,250,0.1,2
365,3,0.1,5
375.5,249,0.1,2
372,249,0.1,4
244,2,0.1,3
375,250,0.1,5
375,250,0.1,4
235,5,0.1,3
238,4,0.1,3
375,250,0.1,4
375.5,249,0.1,2
372,215,0.1,5
376,248,0.1,2
364.5,4,0.1,5
244,2,0.1,3
362.5,245,0.1,4
375,250,0.1,2
375,250,0.1,5
376,248,0.1,2
375,250,0.1,4
238,4,0.1,3
372,77,0.1,5
241,3,0.1,3
366,247,0.1,4
375,250,0.1,2
372,191,0.1,5
375,250,0.1,2
372,249,0.1,4
238,4,0.1,3
375,250,0.1,5
375,250,0.1,4
235,5,0.1,3
238,4,0.1,3
369,248,0.1,4
375,250,0.1,2
368,2,0.1,5
375,250,0.1,2
375,250,0.1,5
238,4,0.1,3
375,250,0.1,4
375.5,249,0.1,2
375,250,0.1,5
376,248,0.1,2
372,249,0.1,4
238,4,0.1,3
375,250,0.1,5
241,3,0.1,3
375,250,0.1,4
375,250,0.1,2
375,250,0.1,5
375,250,0.1,2
375,250,0.1,4
238,4,0.1,3
375,250,0.1,5
359.5,244,0.1,4
238,4,0.1,3
241,3,0.1,3
366,247,0.1,4
376,248,0.1,2
375,250,0.1,5
375,250,0.1,2
368,4,0.1,5
241,3,0.1,3
363,246,0.1,4
375,250,0.1,2
375,250,0.1,5
376,248,0.1,2
375,250,0.1,4
238,4,0.1,3
375,250,0.1,5
238,4,0.1,3
375,250,0.1,4
375.5,249,0.1,2
365,3,0.1,5
376,248,0.1,2
375,250,0.1,4
238,4,0.1,3
365,3,0.1,5
375,250,0.1,4
241,3,0.1,3
238,4,0.1,3
372,249,0.1,4
375,250,0.1,2
371.5,242,0.1,5
375,250,0.1,2
375,250,0.1,5
238,4,0.1,3
375,250,0.1,4
375,250,0.1,2
375,250,0.1,5
375,250,0.1,2
375,250,0.1,4
238,4,0.1,3
375,250,0.1,5
238,4,0.1,3
375,250,0.1,4
375.5,249,0.1,2
375,250,0.1,5
375.5,249,0.1,2
375,250,0.1,4
241,3,0.1,3
375,250,0.1,5
375,250,0.1,4
238,4,0.1,3
241,3,0.1,3
348,241,0.1,4
375,250,0.1,2
375,250,0.1,5
375,250,0.1,2
365,203,0.1,5
238,4,0.1,3
375,250,0.1,4
375.5,249,0.1,2
375,250,0.1,5
375.5,249,0.1,2
375,250,0.1,4
238,4,0.1,3
368.5,3,0.1,5
238,4,0.1,3
375,250,0.1,4
377.5,245,0.1,2
371.5,106,0.1,5
376,248,0.1,2
375,250,0.1,4
238,4,0.1,3
375,250,0.1,5
372,249,0.1,4
235,5,0.1,3
238,4,0.1,3
375,250,0.1,4
375,250,0.1,2
375,250,0.1,5
375.5,249,0.1,2
361,4,0.1,5
241,3,0.1,3
348,241,0.1,4
375.5,249,0.1,2
375,250,0.1,5
375,250,0.1,2
375,250,0.1,4
241,3,0.1,3
371.5,58,0.1,5
238,4,0.1,3
375,250,0.1,4
375,250,0.1,2
375,250,0.1,5
375.5,249,0.1,2
372,249,0.1,4
238,4,0.1,3
375,250,0.1,5
375,250,0.1,4
241,3,0.1,3
241,3,0.1,3
375,250,0.1,4
375.5,249,0.1,2
372,3,0.1,5
375,250,0.1,2
375,250,0.1,5
238,4,0.1,3
348,241,0.1,4
375.5,249,0.1,2
368,64,0.1,5
375,250,0.1,2
366,247,0.1,4
241,3,0.1,3
375,250,0.1,5
241,3,0.1,3
360,245,0.1,4
375.5,249,0.1,2
375,250,0.1,5
375.5,249,0.1,2
342,239,0.1,4
241,3,0.1,3
372,23,0.1,5
369,248,0.1,4
241,3,0.1,3
238,4,0.1,3
375,250,0.1,4
375,250,0.1,2
371.5,90,0.1,5
375.5,249,0.1,2
364.5,4,0.1,5
238,4,0.1,3
375,250,0.1,4
375,250,0.1,2
371.5,64,0.1,5
375.5,249,0.1,2
366,247,0.1,4
241,3,0.1,3
375,250,0.1,5
238,4,0.1,3
375,250,0.1,4
375,250,0.1,2
375,250,0.1,5
375,250,0.1,2
375,250,0.1,4
241,3,0.1,3
372,3,0.1,5
375,250,0.1,4
238,4,0.1,3
241,3,0.1,3
375,250,0.1,4
375,250,0.1,2
375,250,0.1,5
375.5,249,0.1,2
368,244,0.1,5
244,2,0.1,3
372,249,0.1,4
375.5,249,0.1,2
375,250,0.1,5
375,250,0.1,2
372,249,0.1,4
241,3,0.1,3
365,3,0.1,5
238,4,0.1,3
375,250,0.1,4
375,250,0.1,2
368.5,55,0.1,5
375,250,0.1,2
375,250,0.1,4
238,4,0.1,3
371.5,248,0.1,5
375,250,0.1,4
241,3,0.1,3
238,4,0.1,3
375,250,0.1,4
375.5,249,0.1,2
375,250,0.1,5
375,250,0.1,2
375,250,0.1,5
241,3,0.1,3
360,245,0.1,4
375.5,249,0.1,2
375,250,0.1,5
375,250,0.1,2
375,250,0.1,4
238,4,0.1,3
375,250,0.1,5
244,2,0.1,3
369,248,0.1,4
375.5,249,0.1,2
365,3,0.1,5
375.5,249,0.1,2
348,241,0.1,4
238,4,0.1,3
375,250,0.1,5
372,249,0.1,4
235,5,0.1,3
238,4,0.1,3
375,250,0.1,4
375,250,0.1,2
368,110,0.1,5
375,250,0.1,2
364.5,4,0.1,5
244,2,0.1,3
372,249,0.1,4
375,250,0.1,2
375,250,0.1,5
375,250,0.1,2
360,245,0.1,4
238,4,0.1,3
375,250,0.1,5
238,4,0.1,3
375,250,0.1,4
375.5,249,0.1,2
371.5,4,0.1,5
375,250,0.1,2
372,249,0.1,4
241,3,0.1,3
375,250,0.1,5
372,249,0.1,4
235,5,0.1,3
244,2,0.1,3
375,250,0.1,4
375.5,249,0.1,2
375,250,0.1,5
375,250,0.1,2
375,250,0.1,5
238,4,0.1,3
375,250,0.1,4
375.5,249,0.1,2
375,250,0.1,5
375.5,249,0.1,2
375,250,0.1,4
241,3,0.1,3
375,250,0.1,5
238,4,0.1,3
375,250,0.1,4
375.5,249,0.1,2
375,250,0.1,5
375,250,0.1,2
375,250,0.1,4
244,2,0.1,3
375,250,0.1,5
375,250,0.1,4
235,5,0.1,3
238,4,0.1,3
375,250,0.1,4
375.5,249,0.1,2
371.5,4,0.1,5
375,250,0.1,2
361,4,0.1,5
238,4,0.1,3
372,249,0.1,4
375,250,0.1,2
375,250,0.1,5
375,250,0.1,2
372,249,0.1,4
238,4,0.1,3
365,3,0.1,5
241,3,0.1,3
360,245,0.1,4
375,250,0.1,2
375,250,0.1,5
375,250,0.1,2
339,238,0.1,4
241,3,0.1,3
372,3,0.1,5
375,250,0.1,4
238,4,0.1,3
238,4,0.1,3
372,249,0.1,4
375,250,0.1,2
375,250,0.1,5
375.5,249,0.1,2
371.5,248,0.1,5
238,4,0.1,3
372,249,0.1,4
375.5,249,0.1,2
375,250,0.1,5
375,250,0.1,2
372,249,0.1,4
244,2,0.1,3
375,250,0.1,5
241,3,0.1,3
375,250,0.1,4
375.5,249,0.1,2
375,250,0.1,5
375,250,0.1,2
375,250,0.1,4
238,4,0.1,3
368.5,213,0.1,5
369,248,0.1,4
238,4,0.1,3
241,3,0.1,3
375,250,0.1,4
375,250,0.1,2
365,3,0.1,5
375,250,0.1,2
375,250,0.1,5
241,3,0.1,3
351,242,0.1,4
375,250,0.1,2
368.5,3,0.1,5
375,250,0.1,2
375,250,0.1,4
238,4,0.1,3
375,250,0.1,5
241,3,0.1,3
375,250,0.1,4
375,250,0.1,2
375,250,0.1,5
375.5,249,0.1,2
342,239,0.1,4
238,4,0.1,3
375,250,0.1,5
375,250,0.1,4
238,4,0.1,3
238,4,0.1,3
375,250,0.1,4
375,250,0.1,2
375,250,0.1,5
375,250,0.1,2
375,250,0.1,5
241,3,0.1,3
375,250,0.1,4
375,250,0.1,2
375,250,0.1,5
375,250,0.1,2
375,250,0.1,4
241,3,0.1,3
375,250,0.1,5
238,4,0.1,3
375,250,0.1,4
375,250,0.1,2
361,4,0.1,5
375.5,249,0.1,2
375,250,0.1,4
241,3,0.1,3
365,3,0.1,5
372,249,0.1,4
235,5,0.1,3
238,4,0.1,3
375,250,0.1,4
375,250,0.1,2
375,250,0.1,5
375,250,0.1,2
375,250,0.1,5
241,3,0.1,3
375,250,0.1,4
375.5,249,0.1,2
361,24,0.1,5
375,250,0.1,2
372,249,0.1,4
241,3,0.1,3
371.5,216,0.1,5
241,3,0.1,3
375,250,0.1,4
375,250,0.1,2
371.5,206,0.1,5
375,250,0.1,2
351,242,0.1,4
238,4,0.1,3
375,250,0.1,5
375,250,0.1,4
241,3,0.1,3
238,4,0.1,3
375,250,0.1,4
375,250,0.1,2
375,250,0.1,5
375.5,249,0.1,2
375,250,0.1,5
238,4,0.1,3
363,246,0.1,4
375,250,0.1,2
375,250,0.1,5
375.5,249,0.1,2
375,250,0.1,4
241,3,0.1,3
375,250,0.1,5
244,2,0.1,3
375,250,0.1,4
375,250,0.1,2
375,250,0.1,5
375.5,249,0.1,2
369,248,0.1,4
241,3,0.1,3
375,250,0.1,5
375,250,0.1,4
235,5,0.1,3
241,3,0.1,3
247,2,0.1,4
376,248,0.1,2
375,250,0.1,5
375,250,0.1,2
358,5,0.1,5
241,3,0.1,3
375,250,0.1,4
375.5,249,0.1,2
375,250,0.1,5
375,250,0.1,2
375,250,0.1,4
238,4,0.1,3
368.5,3,0.1,5
238,4,0.1,3
375,250,0.1,4
375,250,0.1,2
368.5,3,0.1,5
375,250,0.1,2
375,250,0.1,4
241,3,0.1,3
375,250,0.1,5
375,250,0.1,4
235,5,0.1,3
238,4,0.1,3
375,250,0.1,4
375,250,0.1,2
375,250,0.1,5
375,250,0.1,2
371.5,248,0.1,5
241,3,0.1,3
375,250,0.1,4
375,250,0.1,2
375,250,0.1,5
375.5,249,0.1,2
375,250,0.1,4
238,4,0.1,3
372,193,0.1,5
244,2,0.1,3
372,249,0.1,4
375.5,249,0.1,2
375,250,0.1,5
375,250,0.1,2
318,231,0.1,4
238,4,0.1,3
375,250,0.1,5
375,250,0.1,4
235,5,0.1,3
238,4,0.1,3
348,241,0.1,4
375,250,0.1,2
375,250,0.1,5
375,250,0.1,2
375,250,0.1,5
238,4,0.1,3
375,250,0.1,4
375,250,0.1,2
365,3,0.1,5
375.5,249,0.1,2
375,250,0.1,4
244,2,0.1,3
375,250,0.1,5
241,3,0.1,3
375,250,0.1,4
375.5,249,0.1,2
375,250,0.1,5
375,250,0.1,2
375,250,0.1,4
238,4,0.1,3
375,250,0.1,5
369,248,0.1,4
238,4,0.1,3
241,3,0.1,3
375,250,0.1,4
375.5,249,0.1,2
375,250,0.1,5
375,250,0.1,2
375,250,0.1,5
241,3,0.1,3
375,250,0.1,4
375.5,249,0.1,2
368,108,0.1,5
375.5,249,0.1,2
372,249,0.1,4
244,2,0.1,3
375,250,0.1,5
238,4,0.1,3
372,249,0.1,4
375,250,0.1,2
375,250,0.1,5
375.5,249,0.1,2
351,242,0.1,4
241,3,0.1,3
375,250,0.1,5
372,249,0.1,4
235,5,0.1,3
241,3,0.1,3
375,250,0.1,4
375,250,0.1,2
375,250,0.1,5
375,250,0.1,2
375,250,0.1,5
238,4,0.1,3
375,250,0.1,4
375,250,0.1,2
372,3,0.1,5
376,248,0.1,2
375,250,0.1,4
238,4,0.1,3
372,35,0.1,5
238,4,0.1,3
360,245,0.1,4
375,250,0.1,2
375,250,0.1,5
375,250,0.1,2
351,242,0.1,4
244,2,0.1,3
375,250,0.1,5
375,250,0.1,4
235,5,0.1,3
238,4,0.1,3
372,249,0.1,4
375,250,0.1,2
375,250,0.1,5
375,250,0.1,2
371.5,248,0.1,5
241,3,0.1,3
375,250,0.1,4
375,250,0.1,2
371.5,42,0.1,5
375,250,0.1,2
375,250,0.1,4
241,3,0.1,3
375,250,0.1,5
